price,address,bedroom,den,bathroom
"$965,000 ","#305 -575 BLOOR ST E, Toronto, Ontario ",2,0,2
"$589,000 ","#2703 -68 SHUTER ST, Toronto, Ontario ",1,1,1
"$1,269,000 ","#1206 -55 SKYMARK DR, Toronto, Ontario ",2,1,2
"$534,900 ","#2002 -25 GRENVILLE ST, Toronto, Ontario ",1,1,1
"$999,999 ","14 FLAMING ROSEWAY, Toronto, Ontario ",3,0,2
"$1,350,000 ","#5503 -125 BLUE JAYS WAY, Toronto, Ontario ",3,0,2
"$550,000 ","#717 -621 SHEPPARD AVE E, Toronto, Ontario ",1,0,1
"$3,495,000 ","#607 -155 ST CLAIR AVE W, Toronto, Ontario ",2,0,3
"$796,000 ","#806 -319 JARVIS ST, Toronto, Ontario ",1,1,1
"$1,588,000 ","289 FRANK ENDEAN Road, Richmond Hill, Ontario ",4,0,4
"$759,000 ","#2706 -2212 LAKE SHORE BLVD W, Toronto, Ontario ",2,0,2
"$489,000 ","#PH408 -88 PALACE PIER CRT, Toronto, Ontario ",1,0,1
"$599,000 ","#1817 -1926 LAKE SHORE BLVD W, Toronto, Ontario ",1,1,2
"$859,900 ","#TH92 -30 CARNATION AVE, Toronto, Ontario ",2,0,3
"$789,000 ","#607 -3975 GRAND PARK DR, Mississauga, Ontario ",2,1,2
"$399,999 ","#1110 -65 WATERGARDEN DR, Mississauga, Ontario ",1,0,1
"$599,000 ","#416 -105 THE QUEENS WAY W, Toronto, Ontario ",1,1,1
"$899,000 ","#513 -57 BROCK AVE, Toronto, Ontario ",2,0,2
"$530,000 ","#408 -105 THE QUEENSWAY WAY, Toronto, Ontario ",1,0,1
"$999,000 ","189 ROYAL YORK RD, Toronto, Ontario ",4,0,2
"$899,000 ","42 CHAPMAN RD, Toronto, Ontario ",3,0,2
"$938,000 ","#4 -135 HALL ST, Richmond Hill, Ontario ",3,0,3
"$1,200,000 ","29 BELVIA DR, Vaughan, Ontario ",3,0,2
"$2,499,990 ","31 WILLIAM LOGAN DR W, Richmond Hill, Ontario ",4,0,4
"$999,000 ","25 COCO AVE, Richmond Hill, Ontario ",3,1,4
"$998,000 ","4 ORCA DR, Markham, Ontario ",3,0,3
"$988,800 ","74 STAINES RD, Toronto, Ontario ",3,1,3
"$1,139,000 ","2713 PETER MATTHEWS DR, Pickering, Ontario ",4,0,3
"$439,900 ","#3 -75 SCARBOROUGH RD, Toronto, Ontario ",2,0,1
"$1,775,000 ","70 DUNSTALL CRES, Toronto, Ontario ",0,0,0
"$949,000 ","#TH55 -295 VILLAGE GREEN SQ, Toronto, Ontario ",4,0,3
"$1,240,900 ","#1909 -25 MCMAHON DR, Toronto, Ontario ",2,1,2
"$1,788,000 ","#4310 -21 WIDMER ST, Toronto, Ontario ",3,1,2
"$998,000 ","#3905 -23 HOLLYWOOD AVE, Toronto, Ontario ",2,0,2
"$2,088,800 ",Address not available,3,3,3
"$1,398,000 ","31 UNSWORTH AVE, Toronto, Ontario ",3,0,2
"$638,000 ","#814 -1 KING ST W, Toronto, Ontario ",1,0,1
"$599,900 ","#825 -29 QUEENS QUAY E, Toronto, Ontario ",1,0,1
"$915,000 ","#6 -75 UPPER CANADA DR, Toronto, Ontario ",2,0,2
"$1,188,800 ","131D FINCH AVE E, Toronto, Ontario ",3,0,3
"$608,000 ","#1502 -460 ADELAIDE ST E, Toronto, Ontario ",1,1,1
"$728,888 ","#926 -628 FLEET ST, Toronto, Ontario ",1,1,1
